Material,Item,Organization
DEBRIS ITEMS OF LOCAL CONCERN,Misc. Foam,Clean Ocean Access
DEBRIS ITEMS OF LOCAL CONCERN,Other Items of Conern/ Peculiar Items/ Animals,Clean Ocean Access
DEBRIS ITEMS OF LOCAL CONCERN,Other Count,Clean Ocean Access
DEBRIS ITEMS OF LOCAL CONCERN,Dog Waste Bags,Clean Ocean Access
METAL,Aerosol cans,Corpus Christi Storm Water Runoff
METAL,Aluminum or tin cans,Corpus Christi Storm Water Runoff
PAPER & LUMBER,Paper Bags,Corpus Christi Storm Water Runoff
PLASTIC,Plastic Bags,Corpus Christi Storm Water Runoff
PLASTIC,Balloons and/or string,Corpus Christi Storm Water Runoff
PLASTIC,Plastic Bottle,Corpus Christi Storm Water Runoff
GLASS,Glass Bottle,Corpus Christi Storm Water Runoff
PLASTIC,Plastic Bottle or Container Caps,Corpus Christi Storm Water Runoff
METAL,Metal Bottle Caps,Corpus Christi Storm Water Runoff
PAPER & LUMBER,Lumber/Building Materials,Corpus Christi Storm Water Runoff
FISHING GEAR,Buoys and floats,Corpus Christi Storm Water Runoff
PLASTIC,Cigarette lighters/tobacco packaging,Corpus Christi Storm Water Runoff
PLASTIC,Cigarette or tobacco packaging,Corpus Christi Storm Water Runoff
PLASTIC,Cigarettes,Corpus Christi Storm Water Runoff
CLOTH,Clothing and Shoes,Corpus Christi Storm Water Runoff
PLASTIC,Foam or Plastic Cups,Corpus Christi Storm Water Runoff
PAPER & LUMBER,Paper Cups,Corpus Christi Storm Water Runoff
CLOTH,Fabric pieces,Corpus Christi Storm Water Runoff
FISHING GEAR,Fishing lures and lines,Corpus Christi Storm Water Runoff
RUBBER,Flip-flops,Corpus Christi Storm Water Runoff
PAPER & LUMBER,Food wrappers (paper),Corpus Christi Storm Water Runoff
PLASTIC,Plastic Food Wrappers,Corpus Christi Storm Water Runoff
PLASTIC,Rubber Gloves,Corpus Christi Storm Water Runoff
CLOTH,Gloves (non-rubber),Corpus Christi Storm Water Runoff
GLASS,Glass Jars,Corpus Christi Storm Water Runoff
PLASTIC,Other Plastic Jugs or Containers,Corpus Christi Storm Water Runoff
PAPER & LUMBER,Paper and Cardboard,Corpus Christi Storm Water Runoff
PLASTIC,Personal care products,Corpus Christi Storm Water Runoff
PLASTIC,Plastic or Foam Fragments,Corpus Christi Storm Water Runoff
FISHING GEAR,Plastic rope / Small Net Pieces,Corpus Christi Storm Water Runoff
FISHING GEAR,Rope or Net Pieces (non-nylon),Corpus Christi Storm Water Runoff
PLASTIC,Plastic Utensils,Corpus Christi Storm Water Runoff
PLASTIC,Six-pack rings,Corpus Christi Storm Water Runoff
PLASTIC,Straws,Corpus Christi Storm Water Runoff
PLASTIC,Styrofoam packaging,Corpus Christi Storm Water Runoff
RUBBER,Tires,Corpus Christi Storm Water Runoff
CLOTH,Towels or rags,Corpus Christi Storm Water Runoff
PLASTIC,Toys (plastic),Corpus Christi Storm Water Runoff
OTHER ITEMS,Other,Corpus Christi Storm Water Runoff
METAL,Batteries (acidic and alkaline),Corpus Christi Storm Water Runoff
PLASTIC,Chemicals and chemical containers,Corpus Christi Storm Water Runoff
FISHING GEAR,Crab/Lobster/Fish trap parts,Corpus Christi Storm Water Runoff
PLASTIC,Fireworks,Corpus Christi Storm Water Runoff
FISHING GEAR,Fishing nets,Corpus Christi Storm Water Runoff
PLASTIC,Non-food related plastic packaging,Corpus Christi Storm Water Runoff
PAPER & LUMBER,Pallets,Corpus Christi Storm Water Runoff
OTHER ITEMS,Test Item,Corpus Christi Storm Water Runoff
SITE DATA,Type of site: Legal / Illegal,CRESSIDA List - English
SITE DATA,Type of waste on site,CRESSIDA List - English
SITE DATA,Vicinity to water bodies,CRESSIDA List - English
SITE DATA,Vicinity with settlements,CRESSIDA List - English
SITE DATA,Size,CRESSIDA List - English
SITE DATA,Risk,CRESSIDA List - English
SITE DATA,Remediation Measure,CRESSIDA List - English
URBAN LITTER,Organic and mixed waste,CRESSIDA List - English
URBAN LITTER,Plastics (all kinds),CRESSIDA List - English
URBAN LITTER,"Glass (bottle, jar)",CRESSIDA List - English
URBAN LITTER,Cardboard and paper,CRESSIDA List - English
URBAN LITTER,Metals (all kinds),CRESSIDA List - English
URBAN LITTER,Aluminum (all kinds),CRESSIDA List - English
URBAN LITTER,Electronic and electric waste,CRESSIDA List - English
URBAN LITTER,Batteries,CRESSIDA List - English
URBAN LITTER,End of life vehicles,CRESSIDA List - English
URBAN LITTER,Construction waste ,CRESSIDA List - English
URBAN LITTER,Bulky waste and fabrics ,CRESSIDA List - English
URBAN LITTER,Other waste,CRESSIDA List - English
GENERAL,Other,Debris Items of Local Concern
GENERAL,Southern Sugar Maple,Deciduous Trees
GENERAL,Japanese Hornbeam,Deciduous Trees
GENERAL,Yellowwood,Deciduous Trees
GENERAL,Dogwood,Deciduous Trees
GENERAL,Weeping Purpleleaf European Beech,Deciduous Trees
FISHING GEAR,Crab Trap in Need of Removal,Derelict Crab Trap List
OTHER ITEMS,Crab Trap that has Been Removed,Derelict Crab Trap List
OTHER ITEMS,Test Item,Derelict Crab Trap List
PLASTIC,Plastic Bags,Derwent Estuary List
PLASTIC,Plastic Bottle,Derwent Estuary List
PLASTIC,Plastic Bottle or Container Caps,Derwent Estuary List
PLASTIC,"Cigaretts, Butts, Lighters, Packaging",Derwent Estuary List
PLASTIC,Balloons and/or String,Derwent Estuary List
PLASTIC,Foam or Plastic Cups,Derwent Estuary List
PLASTIC,Plastic Food Wrappers,Derwent Estuary List
PLASTIC,Other Plastic Jugs or Containers,Derwent Estuary List
PLASTIC,Personal Care Products,Derwent Estuary List
FISHING GEAR,Plastic Rope / Small Net Pieces,Derwent Estuary List
PLASTIC,Plastic Utensils,Derwent Estuary List
PLASTIC,Six-pack rings,Derwent Estuary List
PLASTIC,Straws,Derwent Estuary List
PLASTIC,Coffee Cup Lid,Derwent Estuary List
PLASTIC,Plastic or Foam Fragments,Derwent Estuary List
METAL,Aerosol Cans,Derwent Estuary List
METAL,Aluminum or Tin Cans,Derwent Estuary List
METAL,Metal Bottle Caps,Derwent Estuary List
GLASS,Glass Bottle,Derwent Estuary List
GLASS,Glass Jars,Derwent Estuary List
PLASTIC,Rubber Gloves,Derwent Estuary List
RUBBER,Thongs,Derwent Estuary List
RUBBER,Tires,Derwent Estuary List
CLOTH,Clothing and Shoes,Derwent Estuary List
CLOTH,Fabric Pieces,Derwent Estuary List
CLOTH,Gloves (non-rubber/cloth),Derwent Estuary List
CLOTH,Towels or rags,Derwent Estuary List
FISHING GEAR,Rope or Net Pieces (non-nylon),Derwent Estuary List
WOOD AND PAPER,Paper Bags,Derwent Estuary List
WOOD AND PAPER,Food Wrappers,Derwent Estuary List
WOOD AND PAPER,Paper and cardboard,Derwent Estuary List
WOOD AND PAPER,Lumber/Building Materials,Derwent Estuary List
WOOD AND PAPER,Palletts,Derwent Estuary List
FISHING GEAR,Buoys and Floats,Derwent Estuary List
FISHING GEAR,Fishing Lures and Lines,Derwent Estuary List
OTHER ITEMS,Other,Derwent Estuary List
OTHER ITEMS,Test Item,Derwent Estuary List
METAL,Oil or Petrol Can,Derwent Estuary List
METAL,Shopping Trolleys,Derwent Estuary List
WOOD AND PAPER,Coffee Cup,Derwent Estuary List
GENERAL,Appliances (refigerators or wasters etc),Dumping Activities
GENERAL,Batteries,Dumping Activities
GENERAL,Building Materials,Dumping Activities
GENERAL,Cars or Car Parts,Dumping Activities
GENERAL,55-Gal Drums,Dumping Activities
GENERAL,Tires,Dumping Activities
METAL,Aerosol cans,eXXpedition
METAL,Aluminum or tin cans,eXXpedition
PAPER & LUMBER,Paper Bags,eXXpedition
PLASTIC,Plastic Bags,eXXpedition
PLASTIC,Balloons and/or string,eXXpedition
PLASTIC,Plastic Bottle,eXXpedition
GLASS,Glass Bottle,eXXpedition
PLASTIC,Plastic Bottle or Container Caps,eXXpedition
METAL,Metal Bottle Caps,eXXpedition
PAPER & LUMBER,Lumber/Building Materials,eXXpedition
FISHING GEAR,Buoys and floats,eXXpedition
PLASTIC,Cigarette lighters/tobacco packaging,eXXpedition
PLASTIC,Cigarettes,eXXpedition
CLOTH,Clothing and Shoes,eXXpedition
PLASTIC,Foam or Plastic Cups,eXXpedition
CLOTH,Fabric pieces,eXXpedition
FISHING GEAR,Fishing lures and lines,eXXpedition
RUBBER,Flip-flops,eXXpedition
PAPER & LUMBER,Food wrappers (paper),eXXpedition
PLASTIC,Plastic Food Wrappers,eXXpedition
PLASTIC,Rubber Gloves,eXXpedition
CLOTH,Gloves (non-rubber),eXXpedition
GLASS,Glass Jars,eXXpedition
PLASTIC,Other Plastic Jugs or Containers,eXXpedition
PAPER & LUMBER,Paper and Cardboard,eXXpedition
PLASTIC,Personal care products,eXXpedition
PLASTIC,Plastic or Foam Fragments,eXXpedition
OTHER ITEMS,Marine Mammal (please describe),eXXpedition
FISHING GEAR,Plastic rope / Net Pieces,eXXpedition
FISHING GEAR,Rope or Net Pieces (non-nylon),eXXpedition
PLASTIC,Plastic Utensils,eXXpedition
PLASTIC,Six-pack rings,eXXpedition
PLASTIC,Straws,eXXpedition
RUBBER,Tires,eXXpedition
CLOTH,Towels or rags,eXXpedition
OTHER ITEMS,Other,eXXpedition
PAPER & LUMBER,Pallets,eXXpedition
OTHER ITEMS,Test Item,eXXpedition
PLASTIC,Cigarette Butt,Fulbright Vietnam Project
PLASTIC,Plastic Straw,Fulbright Vietnam Project
PLASTIC,Plastic Bottle Cap,Fulbright Vietnam Project
PLASTIC,Plastic Bag,Fulbright Vietnam Project
PLASTIC,Plastic Cup,Fulbright Vietnam Project
PLASTIC,Plastic Lid,Fulbright Vietnam Project
PLASTIC,Plastic Bottle,Fulbright Vietnam Project
PLASTIC,Blister Pack,Fulbright Vietnam Project
CLOTH,Face Mask,Fulbright Vietnam Project
PLASTIC,Foam Cup or Container,Fulbright Vietnam Project
PLASTIC,"Plastic Film, Wrapper or Tape",Fulbright Vietnam Project
PLASTIC,Plastic or Foam Pieces,Fulbright Vietnam Project
PLASTIC,Plastic Container or Jug,Fulbright Vietnam Project
PLASTIC,Plastic Utensil,Fulbright Vietnam Project
PLASTIC,Flip Flop,Fulbright Vietnam Project
PLASTIC,Hard Plastic Packaging,Fulbright Vietnam Project
PLASTIC,Plastic Pipe or Tube,Fulbright Vietnam Project
PLASTIC,Personal Care Product,Fulbright Vietnam Project
PLASTIC,Syringe,Fulbright Vietnam Project
PLASTIC,Cigarette Lighter,Fulbright Vietnam Project
PLASTIC,Diaper/Nappy,Fulbright Vietnam Project
PLASTIC,Miscellaneous Plastic Debris,Fulbright Vietnam Project
METAL,Aluminum Can,Fulbright Vietnam Project
METAL,Tin Can,Fulbright Vietnam Project
METAL,Metal Bottle Cap,Fulbright Vietnam Project
METAL,"Metal Bar, Pipe, or Wire",Fulbright Vietnam Project
METAL,Metal Piping ,Fulbright Vietnam Project
METAL,Wire Piece,Fulbright Vietnam Project
METAL,Aerosol Can,Fulbright Vietnam Project
GLASS,Glass Bottle,Fulbright Vietnam Project
GLASS,Glass Container,Fulbright Vietnam Project
GLASS,Glass Pieces,Fulbright Vietnam Project
RUBBER,Rubber Boot or Shoe,Fulbright Vietnam Project
RUBBER,Rubber Tire,Fulbright Vietnam Project
RUBBER,Rubber Glove,Fulbright Vietnam Project
RUBBER,Rubber Band,Fulbright Vietnam Project
CLOTH,Articles of Clothing,Fulbright Vietnam Project
CLOTH,Towel or Rag,Fulbright Vietnam Project
CLOTH,Shoe,Fulbright Vietnam Project
CLOTH,Burlap Sack,Fulbright Vietnam Project
PAPER & LUMBER,Paper Bag,Fulbright Vietnam Project
PAPER & LUMBER,Lumber,Fulbright Vietnam Project
PAPER & LUMBER,Cardboard,Fulbright Vietnam Project
PAPER & LUMBER,Paper Debris,Fulbright Vietnam Project
FISHING GEAR,Buoys and Floats,Fulbright Vietnam Project
FISHING GEAR,Fishing Lures and Lines,Fulbright Vietnam Project
FISHING GEAR,Plastic Rope and Netting,Fulbright Vietnam Project
FISHING GEAR,Non-plastic Rope and Netting,Fulbright Vietnam Project
LANDMARKS,Cafe/Coffee Shop,Fulbright Vietnam Project
LANDMARKS,Bubble Tea Shop,Fulbright Vietnam Project
LANDMARKS,Street Market,Fulbright Vietnam Project
LANDMARKS,Super Market,Fulbright Vietnam Project
LANDMARKS,Street Food Vendor,Fulbright Vietnam Project
LANDMARKS,Restaurant,Fulbright Vietnam Project
LANDMARKS,Motorbike or Car Repair Shop,Fulbright Vietnam Project
LANDMARKS,Junk Shop,Fulbright Vietnam Project
POINTS OF INTEREST,Recycling Bin,Fulbright Vietnam Project
POINTS OF INTEREST,Trash Bin,Fulbright Vietnam Project
POINTS OF INTEREST,Large Trash Accumulation Site,Fulbright Vietnam Project
POINTS OF INTEREST,Group of Empty Waste Carts,Fulbright Vietnam Project
POINTS OF INTEREST,Group of Full Waste Carts,Fulbright Vietnam Project
POINTS OF INTEREST,Sidewalk Tree with Surrounding Trash,Fulbright Vietnam Project
PAPER & LUMBER,Cigarette Box,Fulbright Vietnam Project
RUBBER,Rubber Debris,Fulbright Vietnam Project
METAL,Metal Debris,Fulbright Vietnam Project
METAL,Aerosol cans,GA Sea Turtle Center
METAL,Aluminum or tin cans,GA Sea Turtle Center
PAPER,Paper Bags,GA Sea Turtle Center
PLASTIC/STYROFOAM,Plastic Bags,GA Sea Turtle Center
PLASTIC/STYROFOAM,Balloons and/or string,GA Sea Turtle Center
PLASTIC/STYROFOAM,Plastic Bottle,GA Sea Turtle Center
GLASS,Glass Bottle,GA Sea Turtle Center
PLASTIC/STYROFOAM,Plastic Bottle or Container Caps,GA Sea Turtle Center
METAL,Metal Bottle Caps,GA Sea Turtle Center
MISCELLANEOUS,Lumber/Building Materials,GA Sea Turtle Center
FISHING GEAR,Buoys and floats,GA Sea Turtle Center
CIGARETTE,Cigarette lighters/tobacco packaging,GA Sea Turtle Center
CIGARETTE,Cigarette or tobacco packaging,GA Sea Turtle Center
CIGARETTE,Cigarettes,GA Sea Turtle Center
CLOTHES/FABRIC,Clothing and Shoes,GA Sea Turtle Center
PLASTIC/STYROFOAM,Foam or Plastic Cups and Plates,GA Sea Turtle Center
PAPER,Paper Cups,GA Sea Turtle Center
CLOTHES/FABRIC,Fabric pieces,GA Sea Turtle Center
FISHING GEAR,Fishing lures and lines,GA Sea Turtle Center
CLOTHES/FABRIC,Flip-flops,GA Sea Turtle Center
PAPER,Food wrappers (paper),GA Sea Turtle Center
PLASTIC/STYROFOAM,Plastic Food Wrappers,GA Sea Turtle Center
PLASTIC/STYROFOAM,Rubber Gloves,GA Sea Turtle Center
CLOTHES/FABRIC,Gloves (non-rubber),GA Sea Turtle Center
GLASS,Glass Jars,GA Sea Turtle Center
PLASTIC/STYROFOAM,Other Plastic Jugs or Containers,GA Sea Turtle Center
PAPER,Paper and Cardboard,GA Sea Turtle Center
MISCELLANEOUS,Personal care products,GA Sea Turtle Center
PLASTIC/STYROFOAM,Plastic or Foam Fragments,GA Sea Turtle Center
PLASTIC/STYROFOAM,Plastic rope / Small Net Pieces,GA Sea Turtle Center
FISHING GEAR,Rope or Net Pieces (non-nylon),GA Sea Turtle Center
PLASTIC/STYROFOAM,Plastic Utensils,GA Sea Turtle Center
PLASTIC/STYROFOAM,Six-pack rings,GA Sea Turtle Center
PLASTIC/STYROFOAM,Straws,GA Sea Turtle Center
PLASTIC/STYROFOAM,Styrofoam packaging,GA Sea Turtle Center
MISCELLANEOUS,Tires,GA Sea Turtle Center
CLOTHES/FABRIC,Towels or rags,GA Sea Turtle Center
PLASTIC/STYROFOAM,Toys (plastic),GA Sea Turtle Center
MISCELLANEOUS,Other,GA Sea Turtle Center
METAL,Batteries (acidic and alkaline),GA Sea Turtle Center
PLASTIC,Chemicals and chemical containers,GA Sea Turtle Center
FISHING GEAR,Crab/Lobster/Fish trap parts,GA Sea Turtle Center
PLASTIC,Fireworks,GA Sea Turtle Center
FISHING GEAR,Fishing nets,GA Sea Turtle Center
PLASTIC,Non-food related plastic packaging,GA Sea Turtle Center
PAPER,Pallets,GA Sea Turtle Center
MISCELLANEOUS,Test Item,GA Sea Turtle Center
PLASTIC/STYROFOAM,Take Out/Away Containers,GA Sea Turtle Center
CIGARETTE,Cigar Tips,GA Sea Turtle Center
GLASS,Glass pieces,GA Sea Turtle Center
PLASTIC/STYROFOAM,Nonfood related packaging,GA Sea Turtle Center
PAPER,Paper Cups/Plates,GA Sea Turtle Center
PLASTIC/STYROFOAM,Plastic Lids,GA Sea Turtle Center
MISCELLANEOUS,Bandages,GA Sea Turtle Center
PAPER,Napkins/Wipes,GA Sea Turtle Center
MISCELLANEOUS,Fireworks,GA Sea Turtle Center
METAL,Aerosol cans,Goal: Clean Seas Florida Keys
METAL,Aluminum or tin cans,Goal: Clean Seas Florida Keys
PAPER & LUMBER,Paper Bags,Goal: Clean Seas Florida Keys
PLASTIC,Plastic Grocery Bags,Goal: Clean Seas Florida Keys
PLASTIC,Balloons and/or string,Goal: Clean Seas Florida Keys
PLASTIC,Plastic Bottle,Goal: Clean Seas Florida Keys
GLASS,Glass Bottle,Goal: Clean Seas Florida Keys
PLASTIC,Plastic Bottle or Container Caps,Goal: Clean Seas Florida Keys
METAL,Metal Bottle Caps,Goal: Clean Seas Florida Keys
PAPER & LUMBER,Lumber/Building Materials,Goal: Clean Seas Florida Keys
FISHING GEAR,Buoys and floats,Goal: Clean Seas Florida Keys
PLASTIC,Cigarette lighters/tobacco packaging,Goal: Clean Seas Florida Keys
PLASTIC,Cigarette or tobacco packaging,Goal: Clean Seas Florida Keys
PLASTIC,Cigarettes,Goal: Clean Seas Florida Keys
CLOTH,Clothing,Goal: Clean Seas Florida Keys
PLASTIC,Foam or Plastic Cups,Goal: Clean Seas Florida Keys
PAPER & LUMBER,Paper Cups,Goal: Clean Seas Florida Keys
CLOTH,Fabric pieces,Goal: Clean Seas Florida Keys
FISHING GEAR,Fishing line,Goal: Clean Seas Florida Keys
RUBBER,Flip-flops,Goal: Clean Seas Florida Keys
PAPER & LUMBER,Food wrappers (paper),Goal: Clean Seas Florida Keys
PLASTIC,Plastic Food Wrappers,Goal: Clean Seas Florida Keys
PLASTIC,Rubber Gloves,Goal: Clean Seas Florida Keys
CLOTH,Gloves (non-rubber),Goal: Clean Seas Florida Keys
GLASS,Glass Jars,Goal: Clean Seas Florida Keys
PLASTIC,Other Plastic Jugs or Containers,Goal: Clean Seas Florida Keys
PAPER & LUMBER,Paper and Cardboard,Goal: Clean Seas Florida Keys
PLASTIC,Personal care products,Goal: Clean Seas Florida Keys
PLASTIC,Plastic or Foam Fragments,Goal: Clean Seas Florida Keys
FISHING GEAR,Other Plastic Rope,Goal: Clean Seas Florida Keys
FISHING GEAR,Plastic net,Goal: Clean Seas Florida Keys
PLASTIC,Plastic Utensils,Goal: Clean Seas Florida Keys
PLASTIC,Six-pack rings,Goal: Clean Seas Florida Keys
PLASTIC,Straws,Goal: Clean Seas Florida Keys
PLASTIC,Styrofoam packaging,Goal: Clean Seas Florida Keys
RUBBER,Tires,Goal: Clean Seas Florida Keys
CLOTH,Towels or rags,Goal: Clean Seas Florida Keys
PLASTIC,Toys (plastic),Goal: Clean Seas Florida Keys
OTHER ITEMS,Other,Goal: Clean Seas Florida Keys
METAL,Batteries (acidic and alkaline),Goal: Clean Seas Florida Keys
PLASTIC,Chemicals and chemical containers,Goal: Clean Seas Florida Keys
FISHING GEAR,Crab/Lobster/Fish trap parts,Goal: Clean Seas Florida Keys
PLASTIC,Fireworks,Goal: Clean Seas Florida Keys
FISHING GEAR,Fishing hook,Goal: Clean Seas Florida Keys
PLASTIC,Non-food related plastic packaging,Goal: Clean Seas Florida Keys
PAPER & LUMBER,Pallets,Goal: Clean Seas Florida Keys
OTHER ITEMS,Test Item,Goal: Clean Seas Florida Keys
FISHING GEAR,Wooden Trap,Goal: Clean Seas Florida Keys
FISHING GEAR,Metal Trap,Goal: Clean Seas Florida Keys
FISHING GEAR,Plastic Trap,Goal: Clean Seas Florida Keys
FISHING GEAR,Non-nylon rope,Goal: Clean Seas Florida Keys
FISHING GEAR,Non-nylon net,Goal: Clean Seas Florida Keys
SURVEY SITE INFO,GPS Coordinates,Goal: Clean Seas Florida Keys
SURVEY SITE INFO,Name of site,Goal: Clean Seas Florida Keys
SURVEY SITE INFO,Survey duration,Goal: Clean Seas Florida Keys
SURVEY SITE INFO,Date of survey,Goal: Clean Seas Florida Keys
SURVEY SITE INFO,Total weight of debris removed,Goal: Clean Seas Florida Keys
FISHING GEAR,Plastic Trap Rope,Goal: Clean Seas Florida Keys
METAL,Anchor,Goal: Clean Seas Florida Keys
METAL,Metal Fragments,Goal: Clean Seas Florida Keys
CLOTH,Shoes,Goal: Clean Seas Florida Keys
PLASTIC,Other Plastic Bags,Goal: Clean Seas Florida Keys
GLASS,Glass Fragments,Goal: Clean Seas Florida Keys
RUBBER,Rubber Fragments,Goal: Clean Seas Florida Keys
METAL,Other Metal,Goal: Clean Seas Florida Keys
FISHING GEAR,Other Fishing Gear,Goal: Clean Seas Florida Keys
PLASTIC,Other Plastic,Goal: Clean Seas Florida Keys
GLASS,Other Glass,Goal: Clean Seas Florida Keys
RUBBER,Other Rubber,Goal: Clean Seas Florida Keys
CLOTH,Other Cloth,Goal: Clean Seas Florida Keys
PAPER & LUMBER,Other Paper or Lumber,Goal: Clean Seas Florida Keys
GENERAL,Bags,ICC  Data Card
GENERAL,Balloons,ICC  Data Card
GENERAL,Beverage Bottles (plastic) 2 liters or less,ICC  Data Card
GENERAL,Beverage Bottles (glass),ICC  Data Card
GENERAL,Beverage Cans,ICC  Data Card
GENERAL,Caps Lids,ICC  Data Card
GENERAL,Clothing Shoes,ICC  Data Card
GENERAL,Cups or Plates or Forks or Knives or Spoons,ICC  Data Card
GENERAL,Food Wrappers or Containers,ICC  Data Card
GENERAL,Pull Tabs,ICC  Data Card
GENERAL,6-Pack Holders,ICC  Data Card
GENERAL,Shotgun Shells or Wadding,ICC  Data Card
GENERAL,Straws or Stirrers,ICC  Data Card
GENERAL,Toys,ICC  Data Card
GENERAL,Bait Containers or Packaging,ICC  Data Card
GENERAL,Bleach or Cleaner Bottles,ICC  Data Card
GENERAL,Buoys or Floats,ICC  Data Card
GENERAL,Crab or Lobster or Fish Traps,ICC  Data Card
GENERAL,Crates,ICC  Data Card
GENERAL,Fishing Line,ICC  Data Card
GENERAL,Fishing Lures or Light Sticks,ICC  Data Card
GENERAL,Fishing Nets,ICC  Data Card
GENERAL,Light Bulbs orTubes,ICC  Data Card
GENERAL,Oil or Lube Bottles,ICC  Data Card
GENERAL,Pallets,ICC  Data Card
GENERAL,Plastic Sheeting orTarps,ICC  Data Card
GENERAL,Rope,ICC  Data Card
GENERAL,Strapping Bands,ICC  Data Card
GENERAL,Cigarettes or Cigarette filters,ICC  Data Card
GENERAL,Cigarette Lighters,ICC  Data Card
GENERAL,Cigar Tips,ICC  Data Card
GENERAL,Tobacco Packaging or Wrappers,ICC  Data Card
GENERAL,Appliances (refigerators or washers etc),ICC  Data Card
GENERAL,Batteries,ICC  Data Card
GENERAL,Building Materials,ICC  Data Card
GENERAL,Cars Car Parts,ICC  Data Card
GENERAL,55-Gal Drums,ICC  Data Card
GENERAL,Tires,ICC  Data Card
GENERAL,Condoms,ICC  Data Card
GENERAL,Diapers,ICC  Data Card
GENERAL,Syringes,ICC  Data Card
GENERAL,Tampons or Tampon Applicators,ICC  Data Card
GENERAL,Other,ICC  Data Card
COMMON LITTER,6-Pack Holders,Keep Tampa Bay Beautiful
COMMON LITTER,Aluminum Cans,Keep Tampa Bay Beautiful
COMMON LITTER,Bags (Paper),Keep Tampa Bay Beautiful
COMMON LITTER,Bags (Plastic),Keep Tampa Bay Beautiful
COMMON LITTER,Balloons,Keep Tampa Bay Beautiful
COMMON LITTER,Batteries,Keep Tampa Bay Beautiful
COMMON LITTER,Bottle Caps (Metal),Keep Tampa Bay Beautiful
COMMON LITTER,Bottle Caps (Plastic),Keep Tampa Bay Beautiful
COMMON LITTER,Bottle/Jars (Glass),Keep Tampa Bay Beautiful
COMMON LITTER,Bottles (Plastic),Keep Tampa Bay Beautiful
COMMON LITTER,Cardboard,Keep Tampa Bay Beautiful
COMMON LITTER,Cigar Tips,Keep Tampa Bay Beautiful
COMMON LITTER,Cigarette Butts,Keep Tampa Bay Beautiful
COMMON LITTER,Lighters,Keep Tampa Bay Beautiful
COMMON LITTER,Containers (Plastic),Keep Tampa Bay Beautiful
COMMON LITTER,Cups/Plates (Paper),Keep Tampa Bay Beautiful
COMMON LITTER,Cups/Plates (Plastic),Keep Tampa Bay Beautiful
COMMON LITTER,Dental Flossers,Keep Tampa Bay Beautiful
COMMON LITTER,Fireworks,Keep Tampa Bay Beautiful
COMMON LITTER,Food Wrappers/Packaging,Keep Tampa Bay Beautiful
COMMON LITTER,Lids (Plastic),Keep Tampa Bay Beautiful
COMMON LITTER,Pens/Pencils,Keep Tampa Bay Beautiful
COMMON LITTER,Utensils (Plastic),Keep Tampa Bay Beautiful
COMMON LITTER,Straws/Stirrers,Keep Tampa Bay Beautiful
COMMON LITTER,Styrofoam Cups/Plates/Packaging,Keep Tampa Bay Beautiful
FISHING GEAR,"Buoys, Crab Pots & Traps",Keep Tampa Bay Beautiful
FISHING GEAR,Fishing Hooks,Keep Tampa Bay Beautiful
FISHING GEAR,Fishing Rubbertail Baits & Weights,Keep Tampa Bay Beautiful
FISHING GEAR,Fishing Line,Keep Tampa Bay Beautiful
FISHING GEAR,Fishing Nets,Keep Tampa Bay Beautiful
FISHING GEAR,Rope,Keep Tampa Bay Beautiful
OTHER ITEMS,Appliances,Keep Tampa Bay Beautiful
OTHER ITEMS,Clothes/Shoes,Keep Tampa Bay Beautiful
OTHER ITEMS,Contraceptives,Keep Tampa Bay Beautiful
OTHER ITEMS,Construction Materials,Keep Tampa Bay Beautiful
OTHER ITEMS,Diapers,Keep Tampa Bay Beautiful
OTHER ITEMS,Drug Paraphanalia/Syringes,Keep Tampa Bay Beautiful
OTHER ITEMS,Feminine Hygene Items,Keep Tampa Bay Beautiful
OTHER ITEMS,Furniture,Keep Tampa Bay Beautiful
OTHER ITEMS,Small Electronic Items,Keep Tampa Bay Beautiful
OTHER ITEMS,Tires,Keep Tampa Bay Beautiful
OTHER ITEMS,Wood Fragments,Keep Tampa Bay Beautiful
OTHER ITEMS,Toys,Keep Tampa Bay Beautiful
OTHER ITEMS,Miscellaneous Items,Keep Tampa Bay Beautiful
PREVENTION,Cigaerette Receptacle(s),Keep Tampa Bay Beautiful
PREVENTION,Monofilament Tube(s),Keep Tampa Bay Beautiful
PREVENTION,Recycle Receptacle(s),Keep Tampa Bay Beautiful
PREVENTION,Trash Receptacle(s),Keep Tampa Bay Beautiful
PREVENTION,Storm Drain Marker(s),Keep Tampa Bay Beautiful
COMMON LITTER,Test Item,Keep Tampa Bay Beautiful
COMMON LITTER,Gasparilla Beads,Keep Tampa Bay Beautiful
PLASTIC MATERIALS,Bags: Grocery/Retail (plastic),Let's Do It World
PLASTIC MATERIALS,Bags: Trash (plastic),Let's Do It World
PLASTIC MATERIALS,Bait Containers/Packaging,Let's Do It World
PLASTIC MATERIALS,Balloons,Let's Do It World
PLASTIC MATERIALS,Balls,Let's Do It World
PLASTIC MATERIALS,"Baskets, Crates",Let's Do It World
PLASTIC MATERIALS,Beverage Bottles: Less than 2 litres,Let's Do It World
PLASTIC MATERIALS,Beverage Bottles: 2 Litres or more,Let's Do It World
PLASTIC MATERIALS,"Bottles: Bleach, Cleaner",Let's Do It World
PLASTIC MATERIALS,Bottles: Oil/Lube,Let's Do It World
PLASTIC MATERIALS,"Buckets, Drums, & Jerry Cans",Let's Do It World
