material,items,organization
,Cardboard and paper,CRESSIDA List - English
,Construction waste,CRESSIDA List - English
,Bulky waste and fabrics,CRESSIDA List - English
,"Glass (bottle, jar)",CRESSIDA List - English
,Other,Debris Items of Local Concern
,Southern Sugar Maple,Deciduous Trees
,Japanese Hornbeam,Deciduous Trees
,Yellowwood,Deciduous Trees
,Dogwood,Deciduous Trees
,Weeping Purpleleaf European Beech,Deciduous Trees
,Crab Trap in Need of Removal,Derelict Crab Trap List
,Crab Trap that has Been Removed,Derelict Crab Trap List
,Test Item,Derelict Crab Trap List
,Other Plastic Jugs or Containers,Derwent Estuary List
,Oil or Petrol Can,Derwent Estuary List
,Test Item,Derwent Estuary List
,Shopping Trolleys,Derwent Estuary List
,Other,Derwent Estuary List
,Rope or Net Pieces (non-nylon),Derwent Estuary List
,Plastic Rope / Small Net Pieces,Derwent Estuary List
,Fishing Lures and Lines,Derwent Estuary List
,Buoys and Floats,Derwent Estuary List
,Palletts,Derwent Estuary List
,Paper and cardboard,Derwent Estuary List
,Lumber/Building Materials,Derwent Estuary List
,Paper Bags,Derwent Estuary List
,Towels or rags,Derwent Estuary List
,Gloves (non-rubber/cloth),Derwent Estuary List
,Fabric Pieces,Derwent Estuary List
,Clothing and Shoes,Derwent Estuary List
,Tires,Derwent Estuary List
,Thongs,Derwent Estuary List
,Glass Jars,Derwent Estuary List
,Glass Bottle,Derwent Estuary List
,Metal Bottle Caps,Derwent Estuary List
,Aluminum or Tin Cans,Derwent Estuary List
,Aerosol Cans,Derwent Estuary List
,Straws,Derwent Estuary List
,Six-pack rings,Derwent Estuary List
,Plastic Utensils,Derwent Estuary List
,Plastic or Foam Fragments,Derwent Estuary List
,Personal Care Products,Derwent Estuary List
,Rubber Gloves,Derwent Estuary List
,Food Wrappers,Derwent Estuary List
,Plastic Food Wrappers,Derwent Estuary List
,Coffee Cup,Derwent Estuary List
,Foam or Plastic Cups,Derwent Estuary List
,"Cigaretts, Butts, Lighters, Packaging",Derwent Estuary List
,Plastic Bottle or Container Caps,Derwent Estuary List
,Coffee Cup Lid,Derwent Estuary List
,Plastic Bottle,Derwent Estuary List
,Balloons and/or String,Derwent Estuary List
,Plastic Bags,Derwent Estuary List
,Appliances (refigerators or wasters etc),Dumping Activities
,55-Gal Drums,Dumping Activities
,Batteries,Dumping Activities
,Cars or Car Parts,Dumping Activities
,Building Materials,Dumping Activities
,Tires,Dumping Activities
,Other Plastic Jugs or Containers,eXXpedition
,Marine Mammal (please describe),eXXpedition
,Test Item,eXXpedition
,Other,eXXpedition
,Rope or Net Pieces (non-nylon),eXXpedition
,Plastic rope / Net Pieces,eXXpedition
,Fishing lures and lines,eXXpedition
,Buoys and floats,eXXpedition
,Pallets,eXXpedition
,Paper and Cardboard,eXXpedition
,Food wrappers (paper),eXXpedition
,Lumber/Building Materials,eXXpedition
,Paper Bags,eXXpedition
,Towels or rags,eXXpedition
,Gloves (non-rubber),eXXpedition
,Fabric pieces,eXXpedition
,Clothing and Shoes,eXXpedition
,Tires,eXXpedition
,Flip-flops,eXXpedition
,Glass Jars,eXXpedition
,Glass Bottle,eXXpedition
,Metal Bottle Caps,eXXpedition
,Aluminum or tin cans,eXXpedition
,Aerosol cans,eXXpedition
,Straws,eXXpedition
,Six-pack rings,eXXpedition
,Plastic Utensils,eXXpedition
,Plastic or Foam Fragments,eXXpedition
,Personal care products,eXXpedition
,Rubber Gloves,eXXpedition
,Plastic Food Wrappers,eXXpedition
,Foam or Plastic Cups,eXXpedition
,Cigarettes,eXXpedition
,Cigarette lighters/tobacco packaging,eXXpedition
,Plastic Bottle or Container Caps,eXXpedition
,Plastic Bottle,eXXpedition
,Balloons and/or string,eXXpedition
,Plastic Bags,eXXpedition
,Test Item,Fish Aggregating Devices
,Fish Aggregating Devices,Fish Aggregating Devices
,Plastic Container or Jug,Fullbright Vietnam Project
,Hard Plastic Packaging,Fullbright Vietnam Project
,"Metal Bar, Pipe, or Wire",Fullbright Vietnam Project
,Wire Piece,Fullbright Vietnam Project
,Metal Debris,Fullbright Vietnam Project
,Glass Pieces,Fullbright Vietnam Project
,Rubber Band,Fullbright Vietnam Project
,Plastic Pipe or Tube,Fullbright Vietnam Project
,"Plastic Film, Wrapper or Tape",Fullbright Vietnam Project
,Rubber Debris,Fullbright Vietnam Project
,Blister Pack,Fullbright Vietnam Project
,Syringe,Fullbright Vietnam Project
,Diaper/Nappy,Fullbright Vietnam Project
,Glass Container,Fullbright Vietnam Project
,Burlap Sack,Fullbright Vietnam Project
,Foam Cup or Container,Fullbright Vietnam Project
,Cafe/Coffee Shop,Fullbright Vietnam Project
,Bubble Tea Shop,Fullbright Vietnam Project
,Street Market,Fullbright Vietnam Project
,Super Market,Fullbright Vietnam Project
,Street Food Vendor,Fullbright Vietnam Project
,Restaurant,Fullbright Vietnam Project
,Motorbike or Car Repair Shop,Fullbright Vietnam Project
,Junk Shop,Fullbright Vietnam Project
,Recycling Bin,Fullbright Vietnam Project
,Trash Bin,Fullbright Vietnam Project
,Large Trash Accumulation Site,Fullbright Vietnam Project
,Group of Empty Waste Carts,Fullbright Vietnam Project
,Group of Full Waste Carts,Fullbright Vietnam Project
,Sidewalk Tree with Surrounding Trash,Fullbright Vietnam Project
,Non-plastic Rope and Netting,Fullbright Vietnam Project
,Plastic Rope and Netting,Fullbright Vietnam Project
,Fishing Lures and Lines,Fullbright Vietnam Project
,Buoys and Floats,Fullbright Vietnam Project
,Cardboard,Fullbright Vietnam Project
,Paper Debris,Fullbright Vietnam Project
,Lumber,Fullbright Vietnam Project
,Metal Piping,Fullbright Vietnam Project
,Paper Bag,Fullbright Vietnam Project
,Towel or Rag,Fullbright Vietnam Project
,Rubber Boot or Shoe,Fullbright Vietnam Project
,Articles of Clothing,Fullbright Vietnam Project
,Shoe,Fullbright Vietnam Project
,Rubber Tire,Fullbright Vietnam Project
,Flip Flop,Fullbright Vietnam Project
,Glass Bottle,Fullbright Vietnam Project
,Metal Bottle Cap,Fullbright Vietnam Project
,Aluminum Can,Fullbright Vietnam Project
,Tin Can,Fullbright Vietnam Project
,Aerosol Can,Fullbright Vietnam Project
,Plastic Straw,Fullbright Vietnam Project
,Plastic Utensil,Fullbright Vietnam Project
,Plastic or Foam Pieces,Fullbright Vietnam Project
,Miscellaneous Plastic Debris,Fullbright Vietnam Project
,Face Mask,Fullbright Vietnam Project
,Personal Care Product,Fullbright Vietnam Project
,Rubber Glove,Fullbright Vietnam Project
,Plastic Cup,Fullbright Vietnam Project
,Cigarette Butt,Fullbright Vietnam Project
,Cigarette Box,Fullbright Vietnam Project
,Cigarette Lighter,Fullbright Vietnam Project
,Plastic Bottle Cap,Fullbright Vietnam Project
,Plastic Lid,Fullbright Vietnam Project
,Plastic Bottle,Fullbright Vietnam Project
,Plastic Bag,Fullbright Vietnam Project
,Other Plastic Jugs or Containers,GA Sea Turtle Center
,Nonfood related packaging,GA Sea Turtle Center
,Non-food related plastic packaging,GA Sea Turtle Center
,Glass pieces,GA Sea Turtle Center
,Fishing nets,GA Sea Turtle Center
,Paper Cups,GA Sea Turtle Center
,Paper Cups/Plates,GA Sea Turtle Center
,Napkins/Wipes,GA Sea Turtle Center
,Fireworks,GA Sea Turtle Center
,Fireworks,GA Sea Turtle Center
,Styrofoam packaging,GA Sea Turtle Center
,Bandages,GA Sea Turtle Center
,Chemicals and chemical containers,GA Sea Turtle Center
,Take Out/Away Containers,GA Sea Turtle Center
,Toys (plastic),GA Sea Turtle Center
,Batteries (acidic and alkaline),GA Sea Turtle Center
,Crab/Lobster/Fish trap parts,GA Sea Turtle Center
,Test Item,GA Sea Turtle Center
,Other,GA Sea Turtle Center
,Rope or Net Pieces (non-nylon),GA Sea Turtle Center
,Plastic rope / Small Net Pieces,GA Sea Turtle Center
,Fishing lures and lines,GA Sea Turtle Center
,Buoys and floats,GA Sea Turtle Center
,Pallets,GA Sea Turtle Center
,Paper and Cardboard,GA Sea Turtle Center
,Food wrappers (paper),GA Sea Turtle Center
,Lumber/Building Materials,GA Sea Turtle Center
,Paper Bags,GA Sea Turtle Center
,Towels or rags,GA Sea Turtle Center
,Gloves (non-rubber),GA Sea Turtle Center
,Fabric pieces,GA Sea Turtle Center
,Clothing and Shoes,GA Sea Turtle Center
,Tires,GA Sea Turtle Center
,Flip-flops,GA Sea Turtle Center
,Glass Jars,GA Sea Turtle Center
,Glass Bottle,GA Sea Turtle Center
,Metal Bottle Caps,GA Sea Turtle Center
,Aluminum or tin cans,GA Sea Turtle Center
,Aerosol cans,GA Sea Turtle Center
,Straws,GA Sea Turtle Center
,Six-pack rings,GA Sea Turtle Center
,Plastic Utensils,GA Sea Turtle Center
,Plastic or Foam Fragments,GA Sea Turtle Center
,Personal care products,GA Sea Turtle Center
,Rubber Gloves,GA Sea Turtle Center
,Plastic Food Wrappers,GA Sea Turtle Center
,Foam or Plastic Cups and Plates,GA Sea Turtle Center
,Cigarettes,GA Sea Turtle Center
,Cigar Tips,GA Sea Turtle Center
,Cigarette lighters/tobacco packaging,GA Sea Turtle Center
,Cigarette or tobacco packaging,GA Sea Turtle Center
,Plastic Bottle or Container Caps,GA Sea Turtle Center
,Plastic Lids,GA Sea Turtle Center
,Plastic Bottle,GA Sea Turtle Center
,Balloons and/or string,GA Sea Turtle Center
,Plastic Bags,GA Sea Turtle Center
,সিমেন্টের থলে,Ganga Prahari
,ঔষধের প্যাকেট,Ganga Prahari
,তামাকের ছোট প্যাকেট,Ganga Prahari
,ব্যক্তিগত ব্যবহার্য পন্যের ছোট প্যাকেট,Ganga Prahari
,প্লাস্টিকের দড়ি,Ganga Prahari
,ই-বর্জ্য টুকরা,Ganga Prahari
,কাগজের বাক্স,Ganga Prahari
,আ্যলুমিনামের মোড়ক,Ganga Prahari
,রাস্তার খাবারের বাটি,Ganga Prahari
,নিয়ে যাওয়ার খাবারের প্যাকেট,Ganga Prahari
,জুসের মোড়ক,Ganga Prahari
,কাঁচের টুকরা,Ganga Prahari
,প্লাস্টিকের জাল/ জালের টুকরা,Ganga Prahari
,রাবার ব্যান্ড,Ganga Prahari
,"শোলার বাটি, থালা, পাত্র",Ganga Prahari
,ব্যাটারি,Ganga Prahari
,ঢেউতোলা পিচবোর্ড,Ganga Prahari
,কাগজ,Ganga Prahari
,পরীক্ষার দ্রব্যাদি,Ganga Prahari
,অন্যান্য,Ganga Prahari
,তার,Ganga Prahari
,প্লাস্টিকের দড়ি,Ganga Prahari
,বয়া,Ganga Prahari
,কাপড়ের টুকরা,Ganga Prahari
,জামাকাপড়,Ganga Prahari
,টায়ার,Ganga Prahari
,প্লাস্টিকের জুতা এবং স্যান্ডেল,Ganga Prahari
,কাঁচের বোতল,Ganga Prahari
,বোতলের ধাতব ঢাকনা,Ganga Prahari
,আ্যলুমিনামের/ টিনের কৌটা,Ganga Prahari
,প্লাস্টিক ব্যাগের টুকরা,Ganga Prahari
,ফোমের টুকরা,Ganga Prahari
,শক্ত প্লাস্টিকের টুকরা,Ganga Prahari
,প্লাস্টিকের নল,Ganga Prahari
,প্লাস্টিকের মোড়ক (খাবারের),Ganga Prahari
,ফোম/ প্লাস্টিকের পেয়ালা/ ঢাকনা,Ganga Prahari
,সিগারেট,Ganga Prahari
,সিগারেটের প্যকেট,Ganga Prahari
,প্লাস্টিকের বোতলের ঢাকনা,Ganga Prahari
,প্লাস্টিকের বোতল,Ganga Prahari
,প্লাস্টিকের থলে,Ganga Prahari
,Other Fishing Gear,Goal- Clean Seas Florida Keys
,Other Plastic Jugs or Containers,Goal- Clean Seas Florida Keys
,Non-food related plastic packaging,Goal- Clean Seas Florida Keys
,Other Plastic,Goal- Clean Seas Florida Keys
,Metal Fragments,Goal- Clean Seas Florida Keys
,Glass Fragments,Goal- Clean Seas Florida Keys
,Other Metal,Goal- Clean Seas Florida Keys
,GPS Coordinates,Goal- Clean Seas Florida Keys
,Name of site,Goal- Clean Seas Florida Keys
,Survey duration,Goal- Clean Seas Florida Keys
,Date of survey,Goal- Clean Seas Florida Keys
,Total weight of debris removed,Goal- Clean Seas Florida Keys
,Plastic net,Goal- Clean Seas Florida Keys
,Paper Cups,Goal- Clean Seas Florida Keys
,Fireworks,Goal- Clean Seas Florida Keys
,Other Glass,Goal- Clean Seas Florida Keys
,Other Rubber,Goal- Clean Seas Florida Keys
,Rubber Fragments,Goal- Clean Seas Florida Keys
,Styrofoam packaging,Goal- Clean Seas Florida Keys
,Chemicals and chemical containers,Goal- Clean Seas Florida Keys
,Toys (plastic),Goal- Clean Seas Florida Keys
,Batteries (acidic and alkaline),Goal- Clean Seas Florida Keys
,Anchor,Goal- Clean Seas Florida Keys
,Crab/Lobster/Fish trap parts,Goal- Clean Seas Florida Keys
,Metal Trap,Goal- Clean Seas Florida Keys
,Plastic Trap,Goal- Clean Seas Florida Keys
,Test Item,Goal- Clean Seas Florida Keys
,Other,Goal- Clean Seas Florida Keys
,Non-nylon rope,Goal- Clean Seas Florida Keys
,Non-nylon net,Goal- Clean Seas Florida Keys
,Other Plastic Rope,Goal- Clean Seas Florida Keys
,Plastic Trap Rope,Goal- Clean Seas Florida Keys
,Fishing line,Goal- Clean Seas Florida Keys
,Fishing hook,Goal- Clean Seas Florida Keys
,Fishing Hook,Goal- Clean Seas Florida Keys
,Buoys and floats,Goal- Clean Seas Florida Keys
,Pallets,Goal- Clean Seas Florida Keys
,Paper and Cardboard,Goal- Clean Seas Florida Keys
,Food wrappers (paper),Goal- Clean Seas Florida Keys
,Lumber/Building Materials,Goal- Clean Seas Florida Keys
,Other Paper or Lumber,Goal- Clean Seas Florida Keys
,Wooden Trap,Goal- Clean Seas Florida Keys
,Paper Bags,Goal- Clean Seas Florida Keys
,Towels or rags,Goal- Clean Seas Florida Keys
,Gloves (non-rubber),Goal- Clean Seas Florida Keys
,Fabric pieces,Goal- Clean Seas Florida Keys
,Other Cloth,Goal- Clean Seas Florida Keys
,Clothing,Goal- Clean Seas Florida Keys
,Shoes,Goal- Clean Seas Florida Keys
,Tires,Goal- Clean Seas Florida Keys
,Flip-flops,Goal- Clean Seas Florida Keys
,Glass Jars,Goal- Clean Seas Florida Keys
,Glass Bottle,Goal- Clean Seas Florida Keys
,Metal Bottle Caps,Goal- Clean Seas Florida Keys
,Aluminum or tin cans,Goal- Clean Seas Florida Keys
,Aerosol cans,Goal- Clean Seas Florida Keys
,Straws,Goal- Clean Seas Florida Keys
,Six-pack rings,Goal- Clean Seas Florida Keys
,Plastic Utensils,Goal- Clean Seas Florida Keys
,Plastic or Foam Fragments,Goal- Clean Seas Florida Keys
,Personal care products,Goal- Clean Seas Florida Keys
,Rubber Gloves,Goal- Clean Seas Florida Keys
,Plastic Food Wrappers,Goal- Clean Seas Florida Keys
,Foam or Plastic Cups,Goal- Clean Seas Florida Keys
,Cigarettes,Goal- Clean Seas Florida Keys
,Cigarette lighters/tobacco packaging,Goal- Clean Seas Florida Keys
,Cigarette or tobacco packaging,Goal- Clean Seas Florida Keys
,Plastic Bottle or Container Caps,Goal- Clean Seas Florida Keys
,Plastic Bottle,Goal- Clean Seas Florida Keys
,Balloons and/or string,Goal- Clean Seas Florida Keys
,Plastic Grocery Bags,Goal- Clean Seas Florida Keys
,Other Plastic Bags,Goal- Clean Seas Florida Keys
,Shotgun Shells or Wadding,ICC Data Card
,Light Bulbs orTubes,ICC Data Card
,Fishing Nets,ICC Data Card
,Crates,ICC Data Card
,Appliances (refigerators or washers etc),ICC Data Card
,Strapping Bands,ICC Data Card
,Plastic Sheeting orTarps,ICC Data Card
,Tampons or Tampon Applicators,ICC Data Card
,Syringes,ICC Data Card
,Diapers,ICC Data Card
,Condoms,ICC Data Card
,Bleach or Cleaner Bottles,ICC Data Card
,Oil or Lube Bottles,ICC Data Card
,55-Gal Drums,ICC Data Card
,Bait Containers or Packaging,ICC Data Card
,Toys,ICC Data Card
,Batteries,ICC Data Card
,Cars Car Parts,ICC Data Card
,Crab or Lobster or Fish Traps,ICC Data Card
,Other,ICC Data Card
,Rope,ICC Data Card
,Fishing Line,ICC Data Card
,Fishing Lures or Light Sticks,ICC Data Card
,Buoys or Floats,ICC Data Card
,Pallets,ICC Data Card
,Building Materials,ICC Data Card
,Clothing Shoes,ICC Data Card
,Tires,ICC Data Card
,Beverage Bottles (glass),ICC Data Card
,Pull Tabs,ICC Data Card
,Beverage Cans,ICC Data Card
,Straws or Stirrers,ICC Data Card
,6-Pack Holders,ICC Data Card
,Food Wrappers or Containers,ICC Data Card
,Cups or Plates or Forks or Knives or Spoons,ICC Data Card
,Cigarettes or Cigarette filters,ICC Data Card
,Cigar Tips,ICC Data Card
,Cigarette Lighters,ICC Data Card
,Tobacco Packaging or Wrappers,ICC Data Card
,Caps Lids,ICC Data Card
,Beverage Bottles (plastic) 2 liters or less,ICC Data Card
,Balloons,ICC Data Card
,Bags,ICC Data Card
,Pisau cukur dan silet,Indonesian Waste Platform
,Paku / sekrup,Indonesian Waste Platform
,Peniti,Indonesian Waste Platform
,Spanduk,Indonesian Waste Platform
,Terpal,Indonesian Waste Platform
,Pita Karet,Indonesian Waste Platform
,Alat suntik /jarum medis,Indonesian Waste Platform
,Popok bayi,Indonesian Waste Platform
,Kondom,Indonesian Waste Platform
,Mainan anak-anak,Indonesian Waste Platform
,Bahan Uji,Indonesian Waste Platform
,Lainnya,Indonesian Waste Platform
,Tali atau Potongan Jaring (bukan nilon),Indonesian Waste Platform
,Tali Plastik / Potongan potongan kecil dari jaring,Indonesian Waste Platform
,Umpan dan Tali Pancing,Indonesian Waste Platform
,Pelampung dan Benda yang mengapung,Indonesian Waste Platform
,Palet,Indonesian Waste Platform
,Kertas dan Karton,Indonesian Waste Platform
,Pembungkus Makanan (kertas),Indonesian Waste Platform
,Kayu/ Bahan bahan Bangunan,Indonesian Waste Platform
,Tas Kertas,Indonesian Waste Platform
,Handuk atau Keset Kaki,Indonesian Waste Platform
,Sarung Tangan (bukan karet / kain),Indonesian Waste Platform
,Potongan Kain,Indonesian Waste Platform
,Pakaian dan Sepatu,Indonesian Waste Platform
,Ban,Indonesian Waste Platform
,Sandal Jepit,Indonesian Waste Platform
,Toples Kaca,Indonesian Waste Platform
,Botol Kaca,Indonesian Waste Platform
,Tutup Botol Logam,Indonesian Waste Platform
,Kaleng Aluminium atau Kaleng Timah,Indonesian Waste Platform
,Kaleng Aerosol,Indonesian Waste Platform
,Sedotan,Indonesian Waste Platform
,Ring pengikat kemasan enam kaleng dari plastik,Indonesian Waste Platform
,Peralatan Plastik,Indonesian Waste Platform
,Potongan potongan Plastik atau Styrofoam,Indonesian Waste Platform
,Produk Perawatan Pribadi,Indonesian Waste Platform
,Pembungkus / Kemasan untuk perlengkapan mandi hotel,Indonesian Waste Platform
,Korek kuping kapas,Indonesian Waste Platform
,Tempat Minum Plastik Lainnya atau Wadah,Indonesian Waste Platform
,Sarung Tangan Karet,Indonesian Waste Platform
,Pembungkus Makanan Plastik,Indonesian Waste Platform
,Wadah gelas dari Styrofoam atau Plastik,Indonesian Waste Platform
,Rokok,Indonesian Waste Platform
,Kemasan Rokok,Indonesian Waste Platform
,Tutup Botol Plastik atau Tutup Botol,Indonesian Waste Platform
,Botol Plastik,Indonesian Waste Platform
,Balon dan/atau Tali,Indonesian Waste Platform
,Tas Plastik,Indonesian Waste Platform
,Plastik Pembungkus Es,Indonesian Waste Platform
,Contenedores Desechables (Plástico),Internacional Coastal Cleanup Lista en espanol
,Contenedores Desechables (poliestireno),Internacional Coastal Cleanup Lista en espanol
,Otros Empaques de Plástico / poliestireno,Internacional Coastal Cleanup Lista en espanol
,Tazas y platos (Papel),Internacional Coastal Cleanup Lista en espanol
,Bandas para sujetar,Internacional Coastal Cleanup Lista en espanol
,Tampones / Aplicadores de Tampon,Internacional Coastal Cleanup Lista en espanol
,Condones,Internacional Coastal Cleanup Lista en espanol
,Animal muerto o herido,Internacional Coastal Cleanup Lista en espanol
,Materiales de construcción,Internacional Coastal Cleanup Lista en espanol
,Bolsas de papel,Internacional Coastal Cleanup Lista en espanol
,Botellas de bebidas (Glass),Internacional Coastal Cleanup Lista en espanol
,Tapas de botella (metal),Internacional Coastal Cleanup Lista en espanol
,Latas de bebidas,Internacional Coastal Cleanup Lista en espanol
,Anillos de plastico para bebidas en lata,Internacional Coastal Cleanup Lista en espanol
,"Tenedores, cuchillos, cucharas",Internacional Coastal Cleanup Lista en espanol
,Piezas de plástico,Internacional Coastal Cleanup Lista en espanol
,Envoltorios de comida,Internacional Coastal Cleanup Lista en espanol
,Tazas y platos (plástico),Internacional Coastal Cleanup Lista en espanol
,Tazas y platos (espuma),Internacional Coastal Cleanup Lista en espanol
,Colillas de cigarrilos,Internacional Coastal Cleanup Lista en espanol
,Puntas de Cigarros,Internacional Coastal Cleanup Lista en espanol
,Empaque/Envoltorio de tabaco,Internacional Coastal Cleanup Lista en espanol
,Tapas de botella (plástico),Internacional Coastal Cleanup Lista en espanol
,Tapas (plástico),Internacional Coastal Cleanup Lista en espanol
,Botellas de bebidas (Plástico),Internacional Coastal Cleanup Lista en espanol
,Otras Botellas plásticas,Internacional Coastal Cleanup Lista en espanol
,Globos,Internacional Coastal Cleanup Lista en espanol
,Bolsas de mercado (Plástico),Internacional Coastal Cleanup Lista en espanol
,Otras bolsas de plástico,Internacional Coastal Cleanup Lista en espanol
,Llantas,Internacional Coastal Cleanup Lista en espanol
,Pedazos de cristal,Internacional Coastal Cleanup Lista en espanol
,Pajilla / Agitadores,Internacional Coastal Cleanup Lista en espanol
,Pañales,Internacional Coastal Cleanup Lista en espanol
,Jeringas,Internacional Coastal Cleanup Lista en espanol
,Encendedores,Internacional Coastal Cleanup Lista en espanol
,Fuegos artificiales,Internacional Coastal Cleanup Lista en espanol
,Piezas de poliestireno,Internacional Coastal Cleanup Lista en espanol
,"Boyas de pesca, Ollas y Trampas",Internacional Coastal Cleanup Lista en espanol
,Red de pesca y Piezas,Internacional Coastal Cleanup Lista en espanol
,Cuerda,Internacional Coastal Cleanup Lista en espanol
,Sedal,Internacional Coastal Cleanup Lista en espanol
,Electrodomésticos,Internacional Coastal Cleanup Lista en espanol
,Otros,Internacional Coastal Cleanup Lista en espanol
,Elemento de prueba,Internacional Coastal Cleanup Lista en espanol
,أدوات فحص,Jordan Royal Marine Conservation Society
,أخرى,Jordan Royal Marine Conservation Society
,حبال أو قطع شباك صيد ليست نايلون,Jordan Royal Marine Conservation Society
,حبل بلاستيك / قطع شباك صيد صغيرة,Jordan Royal Marine Conservation Society
,خيوط وطعم صيد أسماك,Jordan Royal Marine Conservation Society
,عوامات وطوافات,Jordan Royal Marine Conservation Society
,ألواح,Jordan Royal Marine Conservation Society
,ورق وكرتون,Jordan Royal Marine Conservation Society
,أغلفة أطعمة (ورق),Jordan Royal Marine Conservation Society
,خشب / مواد بناء,Jordan Royal Marine Conservation Society
,حقائب ورقية,Jordan Royal Marine Conservation Society
,مناشف أو بشاكير,Jordan Royal Marine Conservation Society
,كفوف قماش أو صوف,Jordan Royal Marine Conservation Society
,قطع قماش,Jordan Royal Marine Conservation Society
,ملابس وأحذية,Jordan Royal Marine Conservation Society
,إطارات,Jordan Royal Marine Conservation Society
,أحذية بحر,Jordan Royal Marine Conservation Society
,صحن زجاجي,Jordan Royal Marine Conservation Society
,قارورة زجاجية,Jordan Royal Marine Conservation Society
,أغطية علب معدنية,Jordan Royal Marine Conservation Society
,علب ألومنيوم أو قصدير,Jordan Royal Marine Conservation Society
,علب بخاخ,Jordan Royal Marine Conservation Society
,قشة / ماصة,Jordan Royal Marine Conservation Society
,حلقات حاملة للأكواب,Jordan Royal Marine Conservation Society
,أواني بلاستيكية,Jordan Royal Marine Conservation Society
,قطع بلاستيكية أو فلينية,Jordan Royal Marine Conservation Society
,منتجات العناية الشخصية,Jordan Royal Marine Conservation Society
,أباريق أو حاويات بلاستيكية,Jordan Royal Marine Conservation Society
,كفوف مطاطية,Jordan Royal Marine Conservation Society
,أغلفة طعام بلاستيكية,Jordan Royal Marine Conservation Society
,أكواب فلين او بلاستيك,Jordan Royal Marine Conservation Society
,اعقاب سجائر,Jordan Royal Marine Conservation Society
,بكيت سجائر,Jordan Royal Marine Conservation Society
,علب بلاستيكية أو أغطية بلاستيكية,Jordan Royal Marine Conservation Society
,علب بلاستيكية,Jordan Royal Marine Conservation Society
,بالونات و/أو خيوط,Jordan Royal Marine Conservation Society
,أكياس بلاستيكية,Jordan Royal Marine Conservation Society
,Containers (Plastic),Keep Tampa Bay Beautiful
,Furniture,Keep Tampa Bay Beautiful
,Gasparilla Beads,Keep Tampa Bay Beautiful
,Storm Drain Marker(s),Keep Tampa Bay Beautiful
,Pens/Pencils,Keep Tampa Bay Beautiful
,Fishing Nets,Keep Tampa Bay Beautiful
,Cups/Plates (Paper),Keep Tampa Bay Beautiful
,Fireworks,Keep Tampa Bay Beautiful
,Appliances,Keep Tampa Bay Beautiful
,Small Electronic Items,Keep Tampa Bay Beautiful
,Feminine Hygene Items,Keep Tampa Bay Beautiful
,Drug Paraphanalia/Syringes,Keep Tampa Bay Beautiful
,Diapers,Keep Tampa Bay Beautiful
,Toys,Keep Tampa Bay Beautiful
,Batteries,Keep Tampa Bay Beautiful
,Recycle Receptacle(s),Keep Tampa Bay Beautiful
,Trash Receptacle(s),Keep Tampa Bay Beautiful
,Test Item,Keep Tampa Bay Beautiful
,Miscellaneous Items,Keep Tampa Bay Beautiful
,Rope,Keep Tampa Bay Beautiful
,Monofilament Tube(s),Keep Tampa Bay Beautiful
,Fishing Hooks,Keep Tampa Bay Beautiful
,Fishing Rubbertail Baits & Weights,Keep Tampa Bay Beautiful
,Fishing Line,Keep Tampa Bay Beautiful
,"Buoys, Crab Pots & Traps",Keep Tampa Bay Beautiful
,Cardboard,Keep Tampa Bay Beautiful
,Construction Materials,Keep Tampa Bay Beautiful
,Wood Fragments,Keep Tampa Bay Beautiful
,Bags (Paper),Keep Tampa Bay Beautiful
,Clothes/Shoes,Keep Tampa Bay Beautiful
,Tires,Keep Tampa Bay Beautiful
,Bottle/Jars (Glass),Keep Tampa Bay Beautiful
,Bottle Caps (Metal),Keep Tampa Bay Beautiful
,Aluminum Cans,Keep Tampa Bay Beautiful
,Straws/Stirrers,Keep Tampa Bay Beautiful
,6-Pack Holders,Keep Tampa Bay Beautiful
,Utensils (Plastic),Keep Tampa Bay Beautiful
,Dental Flossers,Keep Tampa Bay Beautiful
,Contraceptives,Keep Tampa Bay Beautiful
,Food Wrappers/Packaging,Keep Tampa Bay Beautiful
,Cups/Plates (Plastic),Keep Tampa Bay Beautiful
,Styrofoam Cups/Plates/Packaging,Keep Tampa Bay Beautiful
,Cigar Tips,Keep Tampa Bay Beautiful
,Cigarette Butts,Keep Tampa Bay Beautiful
,Lighters,Keep Tampa Bay Beautiful
,Cigaerette Receptacle(s),Keep Tampa Bay Beautiful
,Bottle Caps (Plastic),Keep Tampa Bay Beautiful
,Lids (Plastic),Keep Tampa Bay Beautiful
,Bottles (Plastic),Keep Tampa Bay Beautiful
,Balloons,Keep Tampa Bay Beautiful
,Bags (Plastic),Keep Tampa Bay Beautiful
,Other Plastic,Lets Do It World
,"Wire, Wire Mesh, Barbed Wire",Lets Do It World
,Metal Fragments,Lets Do It World
,Glass & Ceramic Fragments,Lets Do It World
,Fluorescent Light Tubes,Lets Do It World
,"Light Globes: Bulbs, etc.",Lets Do It World
,Light Sticks/Cyalumes,Lets Do It World
,Furnishings (wood),Lets Do It World
,Carpet (synthetic),Lets Do It World
,Furnishings (plastic),Lets Do It World
,Other Metal,Lets Do It World
,Fishing: Nets & Pieces of Nets,Lets Do It World
,Fishing: Nets & Pieces of Nets,Lets Do It World
,Fireworkds,Lets Do It World
,"Baskets, Crates",Lets Do It World
,Computer Equipment & Other Electronic Devices,Lets Do It World
